site_idx,site_kind,site_keys,n_neurons,metric_name,n_exact_ties,uniqueness_prob_exact,n_tie_groups,equivalent_orderings,n_approx_ties_1e-07,uniqueness_prob_1e-07,n_approx_ties_1e-05,uniqueness_prob_1e-05,n_approx_ties_0.001,uniqueness_prob_0.001,model_name
46,conv_bn_conv,"['layer3.16.conv1.weight', 'layer3.16.bn1.weight']",256,l2_norm,0,1.0,0,1.0,88,0.65625,88,0.65625,216,0.15625,resnet101
47,conv_bn_conv,"['layer3.16.conv2.weight', 'layer3.16.bn2.weight']",256,l2_norm,0,1.0,0,1.0,68,0.734375,68,0.734375,195,0.23828125,resnet101
48,conv_bn_conv,"['layer3.17.conv1.weight', 'layer3.17.bn1.weight']",256,l2_norm,0,1.0,0,1.0,60,0.765625,60,0.765625,200,0.21875,resnet101
49,conv_bn_conv,"['layer3.17.conv2.weight', 'layer3.17.bn2.weight']",256,l2_norm,0,1.0,0,1.0,74,0.7109375,74,0.7109375,208,0.1875,resnet101
50,conv_bn_conv,"['layer3.18.conv1.weight', 'layer3.18.bn1.weight']",256,l2_norm,0,1.0,0,1.0,77,0.69921875,77,0.69921875,225,0.12109375,resnet101
51,conv_bn_conv,"['layer3.18.conv2.weight', 'layer3.18.bn2.weight']",256,l2_norm,0,1.0,0,1.0,54,0.7890625,54,0.7890625,195,0.23828125,resnet101
52,conv_bn_conv,"['layer3.19.conv1.weight', 'layer3.19.bn1.weight']",256,l2_norm,0,1.0,0,1.0,116,0.546875,116,0.546875,216,0.15625,resnet101
53,conv_bn_conv,"['layer3.19.conv2.weight', 'layer3.19.bn2.weight']",256,l2_norm,0,1.0,0,1.0,90,0.6484375,90,0.6484375,209,0.18359375,resnet101
54,conv_bn_conv,"['layer3.20.conv1.weight', 'layer3.20.bn1.weight']",256,l2_norm,0,1.0,0,1.0,101,0.60546875,101,0.60546875,215,0.16015625,resnet101
55,conv_bn_conv,"['layer3.20.conv2.weight', 'layer3.20.bn2.weight']",256,l2_norm,0,1.0,0,1.0,72,0.71875,72,0.71875,197,0.23046875,resnet101
56,conv_bn_conv,"['layer3.21.conv1.weight', 'layer3.21.bn1.weight']",256,l2_norm,0,1.0,0,1.0,64,0.75,64,0.75,187,0.26953125,resnet101
57,conv_bn_conv,"['layer3.21.conv2.weight', 'layer3.21.bn2.weight']",256,l2_norm,0,1.0,0,1.0,54,0.7890625,54,0.7890625,175,0.31640625,resnet101
